date,category,event,notes
2022-11-30,ai,ChatGPT released to public,OpenAI public release; first mass-market generative AI tool
2023-01-04,politics,Israeli judicial reform proposal announced,Levin reform announcement
2023-02-20,politics,First weekly mass protest in Israel,Tel Aviv Kaplan St protests begin
2023-03-14,ai,GPT-4 released,significant capability jump from GPT-3.5
2023-03-26,politics,Defense minister Gallant fired then reinstated,protests escalate sharply
2023-03-27,politics,Reform legislation paused after protests and strike,Histadrut general strike
2023-07-24,politics,Reasonableness clause passed in Knesset,first reform law actually passes
2023-09-12,politics,Supreme Court hears reform challenge,full panel of 15 justices
2023-10-07,war,Iron Swords war begins,Hamas attack on Israel; ~1200 Israelis killed
2023-10-15,war,IDF mobilizes ~360000 reservists,largest mobilization in Israeli history
2023-11-15,war,first wave of major Israeli tech layoffs reported,coverage in TheMarker and Calcalist
2024-01-01,politics,Supreme Court strikes down reasonableness clause,4-3 ruling
2024-03-12,ai,Devin released,Cognition Labs first autonomous coding agent
2024-04-13,war,Iran direct attack on Israel,first direct state-level attack
2024-05-13,ai,GPT-4o released,multimodal capabilities
2024-06-20,ai,Claude 3.5 Sonnet released,major coding capability jump
2024-07-30,war,Hezbollah commander Shukr killed in Beirut,escalation
2024-09-17,war,Hezbollah pager attacks,Lebanon front opens
2024-10-01,war,IDF ground operation in southern Lebanon begins,
2024-10-22,ai,Claude 3.5 Sonnet (new) released,more coding capability
2024-11-26,war,Lebanon ceasefire begins,
2025-01-19,war,Gaza ceasefire phase 1 begins,
2025-02-24,ai,Claude 3.7 Sonnet released,extended thinking introduced
2025-05-22,ai,Claude 4 Opus and Sonnet released,
2025-08-05,ai,GPT-5 released,
2026-01-15,war,Iron Swords ceasefire becomes permanent (placeholder),refine when sources confirm
